hour,Technology,value
460,demand,5932.9181682827875
461,demand,5907.775610172871
462,demand,6632.911356308225
463,demand,7515.356533350743
464,demand,8142.386081049337
465,demand,8207.059354519364
466,demand,7898.258024226828
467,demand,7528.19822387195
468,demand,7194.157913096615
469,demand,7006.76081709424
470,demand,6912.1714357242945
471,demand,6913.547060719017
472,demand,7173.586130436646
473,demand,7888.246033431982
474,demand,7927.117236416001
475,demand,7801.634175617218
476,demand,7626.692027567852
477,demand,7333.002654527238
478,demand,6935.962164790506
479,demand,6589.060901215473
480,demand,6208.496760672351
481,demand,5891.8959192574475
482,demand,5739.749879460478
483,demand,5638.32562786497
484,demand,5582.82671766729
485,demand,5517.55516741219
486,demand,6157.137945240549
487,demand,6940.977904310412
488,demand,7479.129313620924
489,demand,7547.346870149965
490,demand,7392.519981303036
491,demand,7152.687596879832
492,demand,6859.643395674995
493,demand,6715.985883224721
494,demand,6645.264831168977
495,demand,6650.017741607244
496,demand,6925.971591065558
497,demand,7633.671305098209
498,demand,7704.685960177458
499,demand,7634.225498176393
500,demand,7481.655685444728
501,demand,7174.891436139767
502,demand,6768.816717450396
503,demand,6435.024322936779
504,demand,6084.9620866588175
505,demand,6001.892130052167
506,demand,5917.101846507331
507,demand,5904.164787805363
508,demand,5993.5786661191
509,demand,6287.185074381439
510,demand,7424.3575806299295
511,demand,8470.611687768105
512,demand,9016.238791817374
513,demand,8980.552977426141
514,demand,8754.0294541573
515,demand,8492.43231189686
516,demand,8247.60312876748
517,demand,8151.708532490869
518,demand,8024.2893118874035
519,demand,7911.222119572015
520,demand,8080.626443779367
521,demand,8641.339925984947
522,demand,8589.811796433794
523,demand,8445.60480087869
524,demand,8187.286814798068
525,demand,7777.956982423957
526,demand,7250.425301189553
527,demand,6852.234387690796
528,demand,6465.639549561172
529,demand,6484.812060119963
530,demand,6396.118322690393
531,demand,6403.418760884606
532,demand,6504.910035710898
533,demand,6821.0430148722935
534,demand,7982.855900395859
535,demand,9069.667907278335
536,demand,9668.18329715056
537,demand,9616.968870450193
538,demand,9291.840739936155
539,demand,8966.984029720605
540,demand,8676.774749068092
541,demand,8553.150788093415
542,demand,8431.72687399943
543,demand,8322.199875317538
544,demand,8487.63679154136
545,demand,9117.089474662618
546,demand,9148.741119584942
547,demand,9017.275556095885
548,demand,8781.24395684888
549,demand,8369.374852328267
550,demand,7827.740531658394
551,demand,7366.500056459039
552,demand,6896.6139910766215
553,demand,6815.740338538215
554,demand,6688.178596596859
555,demand,6653.480163061405
556,demand,6750.7687065309
557,demand,7076.6024695622655
558,demand,8248.404576090412
559,demand,9361.938160922016
560,demand,9975.111143488311
561,demand,9945.958134786822
562,demand,9676.778308169682
563,demand,9371.07513295747
564,demand,9125.407305029914
565,demand,9008.760135088822
566,demand,8880.353706128126
567,demand,8797.189062478205
568,demand,8880.096836139786
569,demand,9394.786074614705
570,demand,9343.519382091123
571,demand,9195.104061759524
572,demand,8947.156245396807
573,demand,8501.387761269882
574,demand,7939.842525010647
575,demand,7491.259271981756
576,demand,7034.598442329738
577,demand,6883.4916372474745
578,demand,6774.502321135499
579,demand,6755.974632837331
580,demand,6849.088277739396
581,demand,7173.897237632049
582,demand,8357.82322206957
583,demand,9486.121406973893
584,demand,10110.077857852431
585,demand,10074.889798480968
586,demand,9751.504177249895
587,demand,9419.540671350316
588,demand,9149.583637330277
589,demand,9017.241028768372
590,demand,8875.234538461253
591,demand,8789.303810606565
592,demand,8874.87087116506
593,demand,9391.107605450488
594,demand,9359.355954929557
595,demand,9214.33558249956
596,demand,8979.630504926998
597,demand,8543.66335988907
598,demand,7976.381036185316
599,demand,7490.878138107446
600,demand,7018.694468150627
601,demand,6525.363503809487
602,demand,6373.534182318408
603,demand,6306.226018275048
604,demand,6362.15749691491
605,demand,6621.34928930296
606,demand,7701.46859534228
607,demand,8716.73222248584
608,demand,9220.213728956505
609,demand,9112.982998461814
610,demand,8786.884314860179
611,demand,8418.856635687418
612,demand,8041.93149002187
613,demand,7830.453351134232
614,demand,7684.835189704578
615,demand,7626.59391501402
616,demand,7778.915580735855
617,demand,8274.196860118356
618,demand,8233.19415686421
619,demand,8038.8302725207095
620,demand,7776.148687378369
621,demand,7393.819254138446
622,demand,6927.5496564925015
623,demand,6573.967922988808
624,demand,6137.465733798068
625,demand,5789.684381647966
626,demand,5632.059481568237
627,demand,5531.278567530217
628,demand,5457.8155576223335
629,demand,5400.175075719926
630,demand,6050.990704504247
631,demand,6875.480690956042
632,demand,7432.8708321314425
633,demand,7492.881818094102
634,demand,7410.126144590084
635,demand,7234.488793864115
636,demand,7011.8138556297035
637,demand,6915.177664495118
638,demand,6847.158148559176
639,demand,6820.152835625897
640,demand,6966.53692996069
641,demand,7431.972493097172
642,demand,7430.418730320149
643,demand,7299.119599297919
644,demand,7104.0746996731905
645,demand,6796.197589716379
646,demand,6407.578440423267
647,demand,6078.341103115903
648,demand,5671.694901776744
649,demand,5581.902909729293
650,demand,5435.250164706395
651,demand,5360.791125625493
652,demand,5311.8196668216515
653,demand,5275.624771104256
654,demand,5950.503953512246
655,demand,6788.931282140335
656,demand,7386.0501151259305
657,demand,7471.019588570103
658,demand,7392.629132755433
659,demand,7228.095410200423
660,demand,6982.526877616664
661,demand,6953.485290930483
662,demand,6944.4654503189695
663,demand,6949.126665202059
664,demand,7180.5632858456665
665,demand,7812.37109269935
666,demand,7898.839076902952
667,demand,7832.5962619031225
668,demand,7649.2917876559295
669,demand,7329.831425374587
670,demand,6919.757018991246
671,demand,6583.032165160059
672,demand,6236.64157407592
673,demand,6192.197331466899
674,demand,6129.496347506854
675,demand,6130.905424263192
676,demand,6248.584604833977
677,demand,6586.439619605258
678,demand,7761.937302536852
679,demand,8857.692261861008
680,demand,9426.107650593764
681,demand,9329.572561257115
682,demand,8835.245593226335
683,demand,8416.618856719406
684,demand,8089.697495109742
685,demand,7921.756424642497
686,demand,7753.436368429855
687,demand,7635.0714019872175
688,demand,7807.977833943922
689,demand,8449.191261390908
690,demand,8477.30302166265
691,demand,8310.070148577386
692,demand,8043.37599889653
693,demand,7608.9902709781045
694,demand,7043.365782528203
695,demand,6618.127536265594
696,demand,6207.604764237129
697,demand,5983.44951217347
698,demand,5897.236019063837
699,demand,5910.107546783145
700,demand,6051.586203789758
701,demand,6385.683957309084
702,demand,7567.535518650328
703,demand,8636.757105349625
704,demand,9183.174551921633
705,demand,9071.632362459983
706,demand,8672.501669232732
707,demand,8307.84829031646
708,demand,8022.767772043423
709,demand,7911.36864071438
710,demand,7786.000876729227
711,demand,7670.583679407879
712,demand,7815.76417465074
713,demand,8444.97400267368
714,demand,8468.801248802112
715,demand,8322.608161740838
716,demand,8072.985738971409
717,demand,7650.077512569042
718,demand,7119.387448878864
719,demand,6708.040528201272
720,demand,6287.060358471517
721,demand,6123.458715761299
722,demand,6021.089177928881
723,demand,6001.427801033953
724,demand,6074.761575151096
725,demand,6378.855000857673
726,demand,7504.110988943688
727,demand,8534.159698237605
728,demand,9075.567800956325
729,demand,9029.15731341984
730,demand,8782.48697735426
731,demand,8536.035089961217
732,demand,8276.583840920457
733,demand,8132.395353606692
734,demand,8009.786842197057
735,demand,7863.943323600659
736,demand,7923.491829773871
737,demand,8442.261912919188
738,demand,8454.016710365177
739,demand,8306.177238517093
740,demand,8055.731483931577
741,demand,7646.839963642
742,demand,7089.348082802298
743,demand,6674.475950177324
744,demand,6240.186272074646
745,demand,5687.911640383178
746,demand,5564.418729837749
747,demand,5525.135418997837
748,demand,5614.211938523161
749,demand,5925.170376071263
750,demand,7061.929665467802
751,demand,8044.033378876089
752,demand,8495.664272469696
753,demand,8489.09080180857
754,demand,8176.269164062133
755,demand,7883.846033716158
756,demand,7607.730757793144
757,demand,7488.413881242496
758,demand,7364.176102378767
759,demand,7244.2500110304245
760,demand,7309.4928840262555
761,demand,7925.3927381683825
762,demand,8011.798805060649
763,demand,7849.831915723476
764,demand,7568.704333343503
765,demand,7132.686942391346
766,demand,6592.698476221236
767,demand,6169.553569949992
768,demand,5747.294801166386
769,demand,5586.985447827824
770,demand,5466.604735617834
771,demand,5435.650324857674
772,demand,5508.715488564135
773,demand,5781.521545112004
774,demand,6891.126329931711
775,demand,7849.448717356899
776,demand,8298.251619419267
777,demand,8297.142827401967
778,demand,8054.1545192178255
779,demand,7744.695673351495
780,demand,7411.662080759341
781,demand,7192.556926677371
782,demand,7078.373623342857
783,demand,7022.939725376894
784,demand,7123.417760816392
785,demand,7664.113178960593
786,demand,7711.7660679169185
787,demand,7519.840942774408
788,demand,7262.243751637521
789,demand,6891.754021941053
790,demand,6443.6793616682335
791,demand,6045.850036963184
792,demand,5609.623910707369
